text,label
FREE IPHONE 15 GIVEAWAY! YOU ARE ONE OF 10 LUCKY WINNERS. CLAIM YOURS: HTTP://BIT.LY/3XFKZ9Q,1
PayPal: We noticed irregular activity. Confirm your identity to avoid suspension: http://paypa1-secure.com/update Act now! Limited time!,1
Your monthly bank statement for October is now available in your online banking portal.,0
URGENT: Your account has been compromised. Click here immediately to verify your identity: http://bit.ly/3xFkZ9q,1
FINAL NOTICE: YOUR ACCOUNT WILL BE PERMANENTLY DELETED IN 48 HOURS. VERIFY NOW: HTTP://LOGIN-BANKOFAMERICA.XYZ/AUTH,1
"Dear Customer, We detected unusual activity on your account. Please confirm your credentials at http://amaz0n-security.net/confirm Act now! Limited time!",1
"Your Apple ID has been locked. To unlock, verify your information at http://micr0soft-365.com/renew Act now! Limited time!",1
"IMPORTANT: IRS REFUND OF $3,247.00 IS PENDING. SUBMIT YOUR SSN AND BANK INFO AT HTTP://MICR0SOFT-365.COM/RENEW",1
Please review the attached contract and provide your feedback by Wednesday.,0
Reminder: Project deadline is next Monday. Please submit your sections by EOD Friday.,0
Microsoft Office 365: Your license key is expired. Renew immediately at http://paypa1-secure.com/update Act now! Limited time!,1
Reminder: Project deadline is next Monday. Please submit your sections by EOD Friday.,0
"IMPORTANT: IRS refund of $3,247.00 is pending. Submit your SSN and bank info at http://micr0soft-365.com/renew",1
"Hi, just following up on our conversation from last week. Do you have time for a call tomorrow?",0
You have (1) unread message from a friend. View it here: http://192.168.1.100/verify Act now! Limited time!,1
Microsoft Office 365: Your license key is expired. Renew immediately at http://bit.ly/3xFkZ9q,1
Congratulations! You've been selected for an exclusive offer. Act now before it expires: http://login-bankofamerica.xyz/auth,1
PayPal: We noticed irregular activity. Confirm your identity to avoid suspension: http://192.168.1.100/verify Act now! Limited time!,1
Your prescription is ready for pickup at the pharmacy. Store hours: 9 AM - 9 PM.,0
IT Maintenance Notice: Systems will be down Saturday 2-6 AM for scheduled updates.,0
"Your payment of $499.99 has been processed. If you did not authorize this, click http://login-bankofamerica.xyz/auth",1
Security Alert: Someone tried to sign in to your account. Verify your identity: http://amaz0n-security.net/confirm,1
"Your payment of $499.99 has been processed. If you did not authorize this, click http://192.168.1.100/verify",1
Thank you for attending the webinar. Recording and slides are available at the link below.,0
Please review the attached contract and provide your feedback by Wednesday.,0
"Hi team, please find attached the Q3 performance report. Let me know if you have questions.",0
"Dear Customer, We detected unusual activity on your account. Please confirm your credentials at http://192.168.1.100/verify",1
"Meeting rescheduled to Thursday at 2 PM. Updated calendar invite sent. Best regards, Management.",0
"HI, I AM A PRINCE FROM NIGERIA AND I NEED YOUR HELP TRANSFERRING $5,000,000. REPLY WITH YOUR BANK DETAILS. Act now! Limited time!",1
"IMPORTANT: IRS refund of $3,247.00 is pending. Submit your SSN and bank info at http://bit.ly/3xFkZ9q Act now! Limited time!",1
"Hi, I am a prince from Nigeria and I need your help transferring $5,000,000. Reply with your bank details.",1
Here is the updated project timeline. Key milestones are highlighted in yellow.,0
"Please review the attached contract and provide your feedback by Wednesday. Best regards, Management.",0
Here is the updated project timeline. Key milestones are highlighted in yellow.,0
Expense report approved. Reimbursement of $342.17 will appear in your next paycheck.,0
"Your Apple ID has been locked. To unlock, verify your information at http://micr0soft-365.com/renew",1
Meeting rescheduled to Thursday at 2 PM. Updated calendar invite sent.,0
Final Notice: Your account will be permanently deleted in 48 hours. Verify now: http://amaz0n-security.net/confirm,1
"IMPORTANT: IRS refund of $3,247.00 is pending. Submit your SSN and bank info at http://paypa1-secure.com/update",1
"Congratulations on completing the training module! Your certificate is attached. Best regards, Management.",0
"Your monthly bank statement for October is now available in your online banking portal. Best regards, Management.",0
Meeting rescheduled to Thursday at 2 PM. Updated calendar invite sent.,0
Congratulations! You've been selected for an exclusive offer. Act now before it expires: http://bit.ly/3xFkZ9q Act now! Limited time!,1
"Your prescription is ready for pickup at the pharmacy. Store hours: 9 AM - 9 PM. Best regards, Management.",0
Reminder: Project deadline is next Monday. Please submit your sections by EOD Friday.,0
"Dear valued customer, please verify your social security number for tax purposes at http://micr0soft-365.com/renew",1
YOU HAVE (1) UNREAD MESSAGE FROM A FRIEND. VIEW IT HERE: HTTP://SECURE-VERIFY-ACCOUNT.COM/LOGIN Act now! Limited time!,1
Meeting rescheduled to Thursday at 2 PM. Updated calendar invite sent.,0
"Welcome to our newsletter! Here are this week's top articles on cybersecurity trends. Best regards, Management.",0
"IMPORTANT: IRS refund of $3,247.00 is pending. Submit your SSN and bank info at http://amaz0n-security.net/confirm",1
Your prescription is ready for pickup at the pharmacy. Store hours: 9 AM - 9 PM.,0
Microsoft Office 365: Your license key is expired. Renew immediately at http://login-bankofamerica.xyz/auth,1
"Hi, just following up on our conversation from last week. Do you have time for a call tomorrow? Best regards, Management.",0
"Your flight confirmation: AA 1742, departing CLT 6:45 AM, arriving JFK 9:10 AM.",0
FYI - Please complete your annual compliance training by December 31. Access it through the HR portal.,0
Team standup notes: Sprint 4 retrospective scheduled for Friday at 10 AM.,0
"DEAR VALUED CUSTOMER, PLEASE VERIFY YOUR SOCIAL SECURITY NUMBER FOR TAX PURPOSES AT HTTP://LOGIN-BANKOFAMERICA.XYZ/AUTH",1
Reminder: Project deadline is next Monday. Please submit your sections by EOD Friday.,0
"YOUR PAYMENT OF $499.99 HAS BEEN PROCESSED. IF YOU DID NOT AUTHORIZE THIS, CLICK HTTP://MICR0SOFT-365.COM/RENEW",1
ACTION REQUIRED: YOUR PASSWORD EXPIRES IN 24 HOURS. RESET IT NOW AT HTTP://PAYPA1-SECURE.COM/UPDATE Act now! Limited time!,1
URGENT: Your account has been compromised. Click here immediately to verify your identity: http://bit.ly/3xFkZ9q,1
"Hi, I am a prince from Nigeria and I need your help transferring $5,000,000. Reply with your bank details. Act now! Limited time!",1
You have (1) unread message from a friend. View it here: http://192.168.1.100/verify,1
"DEAR USER, YOUR NETFLIX SUBSCRIPTION WILL BE CANCELLED UNLESS YOU UPDATE PAYMENT AT HTTP://AMAZ0N-SECURITY.NET/CONFIRM Act now! Limited time!",1
"YOU HAVE WON A $1,000 GIFT CARD! CLAIM YOUR PRIZE NOW BY VISITING HTTP://PAYPA1-SECURE.COM/UPDATE",1
Please complete your annual compliance training by December 31. Access it through the HR portal.,0
Your monthly bank statement for October is now available in your online banking portal.,0
URGENT: YOUR ACCOUNT HAS BEEN COMPROMISED. CLICK HERE IMMEDIATELY TO VERIFY YOUR IDENTITY: HTTP://PAYPA1-SECURE.COM/UPDATE,1
FYI - Happy birthday from the team! Hope you have a great day.,0
Congratulations on completing the training module! Your certificate is attached.,0
Here is the updated project timeline. Key milestones are highlighted in yellow.,0
"Hi team, please find attached the Q3 performance report. Let me know if you have questions. Best regards, Management.",0
Final Notice: Your account will be permanently deleted in 48 hours. Verify now: http://login-bankofamerica.xyz/auth,1
YOUR AMAZON ORDER #938-284719 CANNOT BE DELIVERED. UPDATE SHIPPING INFO: HTTP://MICR0SOFT-365.COM/RENEW Act now! Limited time!,1
"Hi team, please find attached the Q3 performance report. Let me know if you have questions. Best regards, Management.",0
"Here is the updated project timeline. Key milestones are highlighted in yellow. Best regards, Management.",0
"Here is the updated project timeline. Key milestones are highlighted in yellow. Best regards, Management.",0
MICROSOFT OFFICE 365: YOUR LICENSE KEY IS EXPIRED. RENEW IMMEDIATELY AT HTTP://AMAZ0N-SECURITY.NET/CONFIRM Act now! Limited time!,1
Warning: Virus detected on your computer. Download our free scanner at http://amaz0n-security.net/confirm Act now! Limited time!,1
Final Notice: Your account will be permanently deleted in 48 hours. Verify now: http://secure-verify-account.com/login,1
Please review the attached contract and provide your feedback by Wednesday.,0
"DEAR VALUED CUSTOMER, PLEASE VERIFY YOUR SOCIAL SECURITY NUMBER FOR TAX PURPOSES AT HTTP://MICR0SOFT-365.COM/RENEW Act now! Limited time!",1
"Dear user, your Netflix subscription will be cancelled unless you update payment at http://192.168.1.100/verify",1
Congratulations on completing the training module! Your certificate is attached.,0
Here is the updated project timeline. Key milestones are highlighted in yellow.,0
Warning: Virus detected on your computer. Download our free scanner at http://login-bankofamerica.xyz/auth,1
Happy birthday from the team! Hope you have a great day.,0
Expense report approved. Reimbursement of $342.17 will appear in your next paycheck.,0
"IMPORTANT: IRS REFUND OF $3,247.00 IS PENDING. SUBMIT YOUR SSN AND BANK INFO AT HTTP://BIT.LY/3XFKZ9Q",1
Your monthly bank statement for October is now available in your online banking portal.,0
"You have won a $1,000 gift card! Claim your prize now by visiting http://paypa1-secure.com/update",1
Microsoft Office 365: Your license key is expired. Renew immediately at http://micr0soft-365.com/renew,1
"Dear user, your Netflix subscription will be cancelled unless you update payment at http://secure-verify-account.com/login",1
Thanks for your order! Your tracking number is 1Z999AA10123456784. Estimated delivery: Friday.,0
FYI - Here is the updated project timeline. Key milestones are highlighted in yellow.,0
FYI - Welcome to our newsletter! Here are this week's top articles on cybersecurity trends.,0
FYI - Please complete your annual compliance training by December 31. Access it through the HR portal.,0
"Dear Customer, We detected unusual activity on your account. Please confirm your credentials at http://secure-verify-account.com/login",1
FREE IPHONE 15 GIVEAWAY! YOU ARE ONE OF 10 LUCKY WINNERS. CLAIM YOURS: HTTP://MICR0SOFT-365.COM/RENEW,1
"Hi team, please find attached the Q3 performance report. Let me know if you have questions.",0
"Dear user, your Netflix subscription will be cancelled unless you update payment at http://paypa1-secure.com/update",1
SECURITY ALERT: SOMEONE TRIED TO SIGN IN TO YOUR ACCOUNT. VERIFY YOUR IDENTITY: HTTP://BIT.LY/3XFKZ9Q,1
FYI - Your monthly bank statement for October is now available in your online banking portal.,0
"Dear valued customer, please verify your social security number for tax purposes at http://login-bankofamerica.xyz/auth",1
"DEAR USER, YOUR NETFLIX SUBSCRIPTION WILL BE CANCELLED UNLESS YOU UPDATE PAYMENT AT HTTP://LOGIN-BANKOFAMERICA.XYZ/AUTH",1
Security Alert: Someone tried to sign in to your account. Verify your identity: http://amaz0n-security.net/confirm,1
The board meeting minutes from Tuesday have been uploaded to the shared drive.,0
FREE iPhone 15 giveaway! You are one of 10 lucky winners. Claim yours: http://micr0soft-365.com/renew,1
Your monthly bank statement for October is now available in your online banking portal.,0
The board meeting minutes from Tuesday have been uploaded to the shared drive.,0
URGENT: Your account has been compromised. Click here immediately to verify your identity: http://secure-verify-account.com/login,1
Microsoft Office 365: Your license key is expired. Renew immediately at http://micr0soft-365.com/renew Act now! Limited time!,1
"Your Apple ID has been locked. To unlock, verify your information at http://login-bankofamerica.xyz/auth",1
"Dear Customer, We detected unusual activity on your account. Please confirm your credentials at http://secure-verify-account.com/login",1
Security Alert: Someone tried to sign in to your account. Verify your identity: http://amaz0n-security.net/confirm,1
"Hi team, please find attached the Q3 performance report. Let me know if you have questions.",0
The board meeting minutes from Tuesday have been uploaded to the shared drive.,0
"Congratulations on completing the training module! Your certificate is attached. Best regards, Management.",0
Team standup notes: Sprint 4 retrospective scheduled for Friday at 10 AM.,0
"Your flight confirmation: AA 1742, departing CLT 6:45 AM, arriving JFK 9:10 AM.",0
You have (1) unread message from a friend. View it here: http://amaz0n-security.net/confirm Act now! Limited time!,1
Happy birthday from the team! Hope you have a great day.,0
WARNING: VIRUS DETECTED ON YOUR COMPUTER. DOWNLOAD OUR FREE SCANNER AT HTTP://BIT.LY/3XFKZ9Q Act now! Limited time!,1
"Meeting rescheduled to Thursday at 2 PM. Updated calendar invite sent. Best regards, Management.",0
Congratulations! You've been selected for an exclusive offer. Act now before it expires: http://amaz0n-security.net/confirm,1
"Your Apple ID has been locked. To unlock, verify your information at http://bit.ly/3xFkZ9q Act now! Limited time!",1
Team standup notes: Sprint 4 retrospective scheduled for Friday at 10 AM.,0
Final Notice: Your account will be permanently deleted in 48 hours. Verify now: http://192.168.1.100/verify,1
URGENT: YOUR ACCOUNT HAS BEEN COMPROMISED. CLICK HERE IMMEDIATELY TO VERIFY YOUR IDENTITY: HTTP://PAYPA1-SECURE.COM/UPDATE,1
You have (1) unread message from a friend. View it here: http://login-bankofamerica.xyz/auth Act now! Limited time!,1
MICROSOFT OFFICE 365: YOUR LICENSE KEY IS EXPIRED. RENEW IMMEDIATELY AT HTTP://AMAZ0N-SECURITY.NET/CONFIRM,1
Bank of America: Suspicious login detected. Secure your account immediately: http://micr0soft-365.com/renew,1
"FYI - The board meeting minutes from Tuesday have been uploaded to the shared drive. Best regards, Management.",0
"You have won a $1,000 gift card! Claim your prize now by visiting http://secure-verify-account.com/login Act now! Limited time!",1
"Hi, just following up on our conversation from last week. Do you have time for a call tomorrow?",0
MICROSOFT OFFICE 365: YOUR LICENSE KEY IS EXPIRED. RENEW IMMEDIATELY AT HTTP://SECURE-VERIFY-ACCOUNT.COM/LOGIN Act now! Limited time!,1
SECURITY ALERT: SOMEONE TRIED TO SIGN IN TO YOUR ACCOUNT. VERIFY YOUR IDENTITY: HTTP://AMAZ0N-SECURITY.NET/CONFIRM,1
You have (1) unread message from a friend. View it here: http://bit.ly/3xFkZ9q,1
Final Notice: Your account will be permanently deleted in 48 hours. Verify now: http://paypa1-secure.com/update Act now! Limited time!,1
Microsoft Office 365: Your license key is expired. Renew immediately at http://micr0soft-365.com/renew Act now! Limited time!,1
FINAL NOTICE: YOUR ACCOUNT WILL BE PERMANENTLY DELETED IN 48 HOURS. VERIFY NOW: HTTP://192.168.1.100/VERIFY,1
Security Alert: Someone tried to sign in to your account. Verify your identity: http://login-bankofamerica.xyz/auth Act now! Limited time!,1
WARNING: VIRUS DETECTED ON YOUR COMPUTER. DOWNLOAD OUR FREE SCANNER AT HTTP://SECURE-VERIFY-ACCOUNT.COM/LOGIN,1
"Hi, just following up on our conversation from last week. Do you have time for a call tomorrow?",0
"Expense report approved. Reimbursement of $342.17 will appear in your next paycheck. Best regards, Management.",0
"FYI - Hi, just following up on our conversation from last week. Do you have time for a call tomorrow?",0
YOUR AMAZON ORDER #938-284719 CANNOT BE DELIVERED. UPDATE SHIPPING INFO: HTTP://PAYPA1-SECURE.COM/UPDATE Act now! Limited time!,1
"Dear valued customer, please verify your social security number for tax purposes at http://bit.ly/3xFkZ9q",1
"Dear user, your Netflix subscription will be cancelled unless you update payment at http://micr0soft-365.com/renew",1
"Hi, just following up on our conversation from last week. Do you have time for a call tomorrow?",0
FREE iPhone 15 giveaway! You are one of 10 lucky winners. Claim yours: http://secure-verify-account.com/login Act now! Limited time!,1
The board meeting minutes from Tuesday have been uploaded to the shared drive.,0
Team standup notes: Sprint 4 retrospective scheduled for Friday at 10 AM.,0
Your monthly bank statement for October is now available in your online banking portal.,0
"Thank you for attending the webinar. Recording and slides are available at the link below. Best regards, Management.",0
"Hi team, please find attached the Q3 performance report. Let me know if you have questions. Best regards, Management.",0
"Hi, just following up on our conversation from last week. Do you have time for a call tomorrow?",0
URGENT: Your account has been compromised. Click here immediately to verify your identity: http://amaz0n-security.net/confirm Act now! Limited time!,1
Your prescription is ready for pickup at the pharmacy. Store hours: 9 AM - 9 PM.,0
Thanks for your order! Your tracking number is 1Z999AA10123456784. Estimated delivery: Friday.,0
"Your subscription renewal was successful. Next billing date: March 15, 2026.",0
Your prescription is ready for pickup at the pharmacy. Store hours: 9 AM - 9 PM.,0
FINAL NOTICE: YOUR ACCOUNT WILL BE PERMANENTLY DELETED IN 48 HOURS. VERIFY NOW: HTTP://LOGIN-BANKOFAMERICA.XYZ/AUTH,1
"Dear user, your Netflix subscription will be cancelled unless you update payment at http://bit.ly/3xFkZ9q",1
Microsoft Office 365: Your license key is expired. Renew immediately at http://192.168.1.100/verify Act now! Limited time!,1
Your prescription is ready for pickup at the pharmacy. Store hours: 9 AM - 9 PM.,0
YOUR AMAZON ORDER #938-284719 CANNOT BE DELIVERED. UPDATE SHIPPING INFO: HTTP://BIT.LY/3XFKZ9Q,1
Team standup notes: Sprint 4 retrospective scheduled for Friday at 10 AM.,0
Your Amazon order #938-284719 cannot be delivered. Update shipping info: http://secure-verify-account.com/login Act now! Limited time!,1
"IMPORTANT: IRS REFUND OF $3,247.00 IS PENDING. SUBMIT YOUR SSN AND BANK INFO AT HTTP://BIT.LY/3XFKZ9Q",1
Happy birthday from the team! Hope you have a great day.,0
FYI - Expense report approved. Reimbursement of $342.17 will appear in your next paycheck.,0
"Your payment of $499.99 has been processed. If you did not authorize this, click http://bit.ly/3xFkZ9q",1
Your monthly bank statement for October is now available in your online banking portal.,0
"FYI - Welcome to our newsletter! Here are this week's top articles on cybersecurity trends. Best regards, Management.",0
Your prescription is ready for pickup at the pharmacy. Store hours: 9 AM - 9 PM.,0
Expense report approved. Reimbursement of $342.17 will appear in your next paycheck.,0
Please review the attached contract and provide your feedback by Wednesday.,0
Warning: Virus detected on your computer. Download our free scanner at http://paypa1-secure.com/update,1
"Hi, just following up on our conversation from last week. Do you have time for a call tomorrow? Best regards, Management.",0
URGENT: Your account has been compromised. Click here immediately to verify your identity: http://secure-verify-account.com/login,1
ACTION REQUIRED: Your password expires in 24 hours. Reset it now at http://login-bankofamerica.xyz/auth,1
"Dear user, your Netflix subscription will be cancelled unless you update payment at http://paypa1-secure.com/update",1
Bank of America: Suspicious login detected. Secure your account immediately: http://amaz0n-security.net/confirm,1
Thank you for attending the webinar. Recording and slides are available at the link below.,0
You have (1) unread message from a friend. View it here: http://micr0soft-365.com/renew Act now! Limited time!,1
Congratulations on completing the training module! Your certificate is attached.,0
"Dear valued customer, please verify your social security number for tax purposes at http://micr0soft-365.com/renew Act now! Limited time!",1
Expense report approved. Reimbursement of $342.17 will appear in your next paycheck.,0
Your monthly bank statement for October is now available in your online banking portal.,0
"You have won a $1,000 gift card! Claim your prize now by visiting http://amaz0n-security.net/confirm",1
"YOU HAVE WON A $1,000 GIFT CARD! CLAIM YOUR PRIZE NOW BY VISITING HTTP://LOGIN-BANKOFAMERICA.XYZ/AUTH Act now! Limited time!",1
Congratulations on completing the training module! Your certificate is attached.,0
Thanks for your order! Your tracking number is 1Z999AA10123456784. Estimated delivery: Friday.,0
"Expense report approved. Reimbursement of $342.17 will appear in your next paycheck. Best regards, Management.",0
FYI - Expense report approved. Reimbursement of $342.17 will appear in your next paycheck.,0
Please complete your annual compliance training by December 31. Access it through the HR portal.,0
"Hi, just following up on our conversation from last week. Do you have time for a call tomorrow?",0
Microsoft Office 365: Your license key is expired. Renew immediately at http://login-bankofamerica.xyz/auth,1
"Dear user, your Netflix subscription will be cancelled unless you update payment at http://paypa1-secure.com/update Act now! Limited time!",1
"Welcome to our newsletter! Here are this week's top articles on cybersecurity trends. Best regards, Management.",0
BANK OF AMERICA: SUSPICIOUS LOGIN DETECTED. SECURE YOUR ACCOUNT IMMEDIATELY: HTTP://AMAZ0N-SECURITY.NET/CONFIRM,1
Microsoft Office 365: Your license key is expired. Renew immediately at http://192.168.1.100/verify,1
Expense report approved. Reimbursement of $342.17 will appear in your next paycheck.,0
FREE iPhone 15 giveaway! You are one of 10 lucky winners. Claim yours: http://amaz0n-security.net/confirm,1
"Team standup notes: Sprint 4 retrospective scheduled for Friday at 10 AM. Best regards, Management.",0
Please complete your annual compliance training by December 31. Access it through the HR portal.,0
Security Alert: Someone tried to sign in to your account. Verify your identity: http://amaz0n-security.net/confirm,1
Please complete your annual compliance training by December 31. Access it through the HR portal.,0
Security Alert: Someone tried to sign in to your account. Verify your identity: http://bit.ly/3xFkZ9q Act now! Limited time!,1
Reminder: Project deadline is next Monday. Please submit your sections by EOD Friday.,0
"Dear valued customer, please verify your social security number for tax purposes at http://paypa1-secure.com/update",1
FYI - Reminder: Project deadline is next Monday. Please submit your sections by EOD Friday.,0
You have (1) unread message from a friend. View it here: http://bit.ly/3xFkZ9q,1
"Dear valued customer, please verify your social security number for tax purposes at http://micr0soft-365.com/renew Act now! Limited time!",1
Meeting rescheduled to Thursday at 2 PM. Updated calendar invite sent.,0
"Dear valued customer, please verify your social security number for tax purposes at http://paypa1-secure.com/update Act now! Limited time!",1
PayPal: We noticed irregular activity. Confirm your identity to avoid suspension: http://paypa1-secure.com/update,1
"IMPORTANT: IRS refund of $3,247.00 is pending. Submit your SSN and bank info at http://secure-verify-account.com/login Act now! Limited time!",1
"Hi, I am a prince from Nigeria and I need your help transferring $5,000,000. Reply with your bank details. Act now! Limited time!",1
SECURITY ALERT: SOMEONE TRIED TO SIGN IN TO YOUR ACCOUNT. VERIFY YOUR IDENTITY: HTTP://SECURE-VERIFY-ACCOUNT.COM/LOGIN,1
"Dear Customer, We detected unusual activity on your account. Please confirm your credentials at http://secure-verify-account.com/login Act now! Limited time!",1
"Dear valued customer, please verify your social security number for tax purposes at http://bit.ly/3xFkZ9q Act now! Limited time!",1
"Your flight confirmation: AA 1742, departing CLT 6:45 AM, arriving JFK 9:10 AM.",0
Your monthly bank statement for October is now available in your online banking portal.,0
"Your subscription renewal was successful. Next billing date: March 15, 2026.",0
MICROSOFT OFFICE 365: YOUR LICENSE KEY IS EXPIRED. RENEW IMMEDIATELY AT HTTP://192.168.1.100/VERIFY Act now! Limited time!,1
SECURITY ALERT: SOMEONE TRIED TO SIGN IN TO YOUR ACCOUNT. VERIFY YOUR IDENTITY: HTTP://AMAZ0N-SECURITY.NET/CONFIRM,1
Expense report approved. Reimbursement of $342.17 will appear in your next paycheck.,0
Your prescription is ready for pickup at the pharmacy. Store hours: 9 AM - 9 PM.,0
Meeting rescheduled to Thursday at 2 PM. Updated calendar invite sent.,0
SECURITY ALERT: SOMEONE TRIED TO SIGN IN TO YOUR ACCOUNT. VERIFY YOUR IDENTITY: HTTP://SECURE-VERIFY-ACCOUNT.COM/LOGIN,1
PAYPAL: WE NOTICED IRREGULAR ACTIVITY. CONFIRM YOUR IDENTITY TO AVOID SUSPENSION: HTTP://192.168.1.100/VERIFY,1
Please complete your annual compliance training by December 31. Access it through the HR portal.,0
Thank you for attending the webinar. Recording and slides are available at the link below.,0
Expense report approved. Reimbursement of $342.17 will appear in your next paycheck.,0
Your monthly bank statement for October is now available in your online banking portal.,0
PayPal: We noticed irregular activity. Confirm your identity to avoid suspension: http://paypa1-secure.com/update,1
FYI - Reminder: Project deadline is next Monday. Please submit your sections by EOD Friday.,0
"Team standup notes: Sprint 4 retrospective scheduled for Friday at 10 AM. Best regards, Management.",0
YOUR AMAZON ORDER #938-284719 CANNOT BE DELIVERED. UPDATE SHIPPING INFO: HTTP://MICR0SOFT-365.COM/RENEW,1
"Your subscription renewal was successful. Next billing date: March 15, 2026.",0
FYI - Team standup notes: Sprint 4 retrospective scheduled for Friday at 10 AM.,0
"Please complete your annual compliance training by December 31. Access it through the HR portal. Best regards, Management.",0
"Dear Customer, We detected unusual activity on your account. Please confirm your credentials at http://bit.ly/3xFkZ9q Act now! Limited time!",1
Final Notice: Your account will be permanently deleted in 48 hours. Verify now: http://micr0soft-365.com/renew,1
Thanks for your order! Your tracking number is 1Z999AA10123456784. Estimated delivery: Friday.,0
"IMPORTANT: IRS refund of $3,247.00 is pending. Submit your SSN and bank info at http://192.168.1.100/verify",1
Bank of America: Suspicious login detected. Secure your account immediately: http://amaz0n-security.net/confirm,1
YOUR AMAZON ORDER #938-284719 CANNOT BE DELIVERED. UPDATE SHIPPING INFO: HTTP://192.168.1.100/VERIFY Act now! Limited time!,1
"FYI - Hi team, please find attached the Q3 performance report. Let me know if you have questions.",0
Expense report approved. Reimbursement of $342.17 will appear in your next paycheck.,0
IT Maintenance Notice: Systems will be down Saturday 2-6 AM for scheduled updates.,0
"Your Apple ID has been locked. To unlock, verify your information at http://192.168.1.100/verify Act now! Limited time!",1
The board meeting minutes from Tuesday have been uploaded to the shared drive.,0
